Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
quest_radial22Desc,,,,,"Elmer's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Elmer \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial23Desc,,,,,"Claudio's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Claudio \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial24Desc,,,,,"Rick's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Rick \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial25Desc,,,,,"Merle's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Merle \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial26Desc,,,,,"Brad's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Brad \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial27Desc,,,,,"Snake's Request \n\nMake sure you have some coins with you in order to activate the mission.","Petición de Snake \n\nAsegúrate de llevar alguna moneda encima para poder activar la misión.",,
quest_radial28Desc,,,,,"Liam's Request","Petición de Liam",,
quest_radial29Desc,,,,,"M. Rajoy's Request","Petición de M. Rajoy",,
quest_radial30Desc,,,,,"Olivia's Request","Petición de Olivia",,
quest_radialx_complete,,,,,"You complied with their request, here's your reward, and also get some of my stash for a job well done.","Cumpliste su petición, aquí tienes tu recompensa, y ademas llévate algo de mi alijo por un trabajo bien hecho.",,
quest_radial1_name,,,,,"The Stealthiest","Los más Sigilosos",,
quest_radial2_name,,,,,"From the Junk","Llegado del Chatarrero",,
quest_radial3_name,,,,,"Leather Lover","Amante del Cuero",,
quest_radial4_name,,,,,"You look like a Bandit","Pareces un Bandido",,
quest_radial5_name,,,,,"Call of Duty","Llamada al Deber",,
quest_radial6_name,,,,,"The Heavy Armor","El Blindado",,
quest_radial7_name,,,,,"Ecologist 1","Ecologista 1",,
quest_radial8_name,,,,,"Ecologist 2","Ecologista 2",,
quest_radial9_name,,,,,"Knitting","Tejedor",,
quest_radial10_name,,,,,"Like Robin Hood","Como Robin Hood",,
quest_radial11_name,,,,,"Ecologist 3","Ecologista 3",,
quest_radial12_name,,,,,"Survivor 1","Superviviente 1",,
quest_radial13_name,,,,,"Survivor 2","Superviviente 2",,
quest_radial14_name,,,,,"Survivor 3","Superviviente 3",,
quest_radial15_name,,,,,"I always wanted you to have my house","Siempre quise tenes mi Casa",,
quest_radial16_name,,,,,"The best offense is a good defense","El mejor ataque es una buena Defensa",,
quest_radial17_name,,,,,"Better with Rocks","Mejor con Rocas",,
quest_radial18_name,,,,,"I hate the Bald Men","Odio a los Calvos",,
quest_radial19_name,,,,,"Damn Suits","Malditos Trajeados",,
quest_radial20_name,,,,,"Evil Nurses","Enfermeras Malvadas",,
quest_radial21_name,,,,,"Evil Nurses","Tiempos de Caza",,
quest_radial22_name,,,,,"Evil Nurses","Conejo Saltarin",,
quest_radial23_name,,,,,"Evil Nurses","La Gallina Corredora",,
quest_radial24_name,,,,,"Evil Nurses","Los Caminantes 1",,
quest_radial25_name,,,,,"Evil Nurses","Los Caminantes 2",,
quest_radial26_name,,,,,"Evil Nurses","Los Caminantes 3",,
quest_radial27_name,,,,,"Snake, SNAKEEEEE!!!!","Snake, SNAKEEEEE!!!!",,
quest_radial28_name,,,,,"The Harvest Times","Los tiempos de la Cosecha",,
quest_radial29_name,,,,,"Long live the Wine!!","Viva el Vino!!",,
quest_radial30_name,,,,,"Don't miss out on food","Que no falte Comida",,
name,,,,,"English","Spanish",,
quest_radial1_subtitle,,,,,"The Stealthiest","Los más Sigilosos",,
quest_radial2_subtitle,,,,,"From the Junk","Llegado del Chatarrero",,
quest_radial3_subtitle,,,,,"Leather Lover","Amante del Cuero",,
quest_radial4_subtitle,,,,,"You look like a Bandit","Pareces un Bandido",,
quest_radial5_subtitle,,,,,"Call of Duty","Llamada al Deber",,
quest_radial6_subtitle,,,,,"The Heavy Armor","El Blindado",,
quest_radial7_subtitle,,,,,"Ecologist 1","Ecologista 1",,
quest_radial8_subtitle,,,,,"Ecologist 2","Ecologista 2",,
quest_radial9_subtitle,,,,,"Knitting","Tejedor",,
quest_radial10_subtitle,,,,,"Like Robin Hood","Como Robin Hood",,
quest_radial11_subtitle,,,,,"Ecologist 3","Ecologista 3",,
quest_radial12_subtitle,,,,,"Survivor 1","Superviviente 1",,
quest_radial13_subtitle,,,,,"Survivor 2","Superviviente 2",,
quest_radial14_subtitle,,,,,"Survivor 3","Superviviente 3",,
quest_radial15_subtitle,,,,,"I always wanted you to have my house","Siempre quise tenes mi Casa",,
quest_radial16_subtitle,,,,,"The best offense is a good defense","El mejor ataque es una buena Defensa",,
quest_radial17_subtitle,,,,,"Better with Rocks","Mejor con Rocas",,
quest_radial18_subtitle,,,,,"I hate the Bald Men","Odio a los Calvos",,
quest_radial19_subtitle,,,,,"Damn Suits","Malditos Trajeados",,
quest_radial20_subtitle,,,,,"Evil Nurses","Enfermeras Malvadas",,
quest_radial21_subtitle,,,,,"Evil Nurses","Tiempos de Caza",,
quest_radial22_subtitle,,,,,"Evil Nurses","Conejo Saltarin",,
quest_radial23_subtitle,,,,,"Evil Nurses","La Gallina Corredora",,
quest_radial24_subtitle,,,,,"Evil Nurses","Los Caminantes 1",,
quest_radial25_subtitle,,,,,"Evil Nurses","Los Caminantes 2",,
quest_radial26_subtitle,,,,,"Evil Nurses","Los Caminantes 3",,
quest_radial27_subtitle,,,,,"Snake, SNAKEEEEE!!!!","Snake, SNAKEEEEE!!!!",,
quest_radial28_subtitle,,,,,"The Harvest Times","Los tiempos de la Cosecha",,
quest_radial29_subtitle,,,,,"Long live the Wine!!","Viva el Vino!!",,
quest_radial30_subtitle,,,,,"Don't miss out on food","Que no falte Comida",,
quest_radial1_desc,,,,,"I've always been amazed at people who venture out protected only by their cloth clothing. Dress just like them, and get a small reward along the way.","Siempre me sorprendió la gente que se aventura unicamente protegida por su ropa de tela. Vístete igual que ellos, y llévate una pequeña recompensa de paso.",,
quest_radial2_desc,,,,,"I once saw a guy who came from the scrap yard and had made a suit of armor completely out of scrap metal. If someone is able to wear one like it, here's a reward.","Una vez vi a un tipo que venia del chatarrero y se había hecho una armadura completamente de chatarra. Si alguien es capaz de ponerse una igual, aquí le dejo una recompensa.",,
quest_radial3_desc,,,,,"The leather, that special touch it has when it sticks to the skin... Dress up in leather from top to bottom and take home this reward.","El cuero, ese tacto especial que tiene cuando se pega a la piel... Vístete de cuero de arriba abajo y llévate esta recompensa.",,
quest_radial4_desc,,,,,"If you're going to dress up, you better make it as intimidating as possible, dress up as a bandit and get this in return.","Si te vas a disfrazar mejor que sea lo mas intimidante posible, vístete de bandido y llévate esto a cambio.",,
quest_radial5_desc,,,,,"If we want to defeat the enemy, we must first dress properly, Get a full military outfit and you're good to go, keep this in return.","Si queremos derrotar al enemigo primero debemos vestirnos en condiciones, consigue un equipo militar completo y ya estarás preparado, quédate con esto a cambio.",,
quest_radial6_desc,,,,,"The description of Walking Tank is the one that best suits the most powerful armor, If you can do with one, this will be your reward.","La descripción de tanque andante es la que mejor se adapta a la armadura mas poderosa, si puedes hacer con una esta sera tu recompensa.",,
quest_radial7_desc,,,,,"Even in the most difficult times, we must take care of the environment. A reward for the one who helps plant some pine trees.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a plantar algunos pinos.",,
quest_radial8_desc,,,,,"Even in the most difficult times, we must take care of the environment. A reward for the one who helps plant some oak trees.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a plantar algunos robles.",,
quest_radial9_desc,,,,,"Have you ever thought about what you will do when the cloth runs out in the world?, Luckily Grandma is here, make some fabric and keep this reward.","¿Habéis pensado que haréis cuando se acabe la tela en el mundo?, por suerte esta aquí la abuela, fabrica un poco de tela y quédate con esta recompensa.",,
quest_radial10_desc,,,,,"I loved Robin Hood with his bow and arrows. If someone is skilled enough to craft a good handful of arrows, they can keep the reward.","Me encanto Robin Hood con su arco y sus flechas. Si alguien es lo bastante hábil para fabricar un buen puñado de flechas, puede quedarse con la recompensa.",,
quest_radial11_desc,,,,,"Even in the most difficult times, we must take care of the environment. A reward for anyone who helps collect some plastic.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a recoger un poco de plástico.",,
quest_radial12_desc,,,,,"The apocalypse is here and canned food is worth its weight in gold. Collect a few cans of beans and keep the reward.","Llego el apocalipsis y la comida enlatada vale su peso en oro. Reúne unas cuantas latas de judías y quédate con la recompensa.",,
quest_radial13_desc,,,,,"The apocalypse is here and canned food is worth its weight in gold. Collect a few cans of chili and keep the reward.","Llego el apocalipsis y la comida enlatada vale su peso en oro. Reúne unas cuantas latas de chili y quédate con la recompensa.",,
quest_radial14_desc,,,,,"The apocalypse is here and canned food is worth its weight in gold. Collect a few cans of shawn and keep the reward.","Llego el apocalipsis y la comida enlatada vale su peso en oro. Reúne unas cuantas latas de shawn y quédate con la recompensa.",,
quest_radial15_desc,,,,,"I've always wanted to have my own house, if someone dares to build me one, no matter how small, they can keep this reward.","Siempre quise tener mi propia casa, si alguien se anima a construirme una por pequeña que sea, puede quedarse con esta recompensa.",,
quest_radial16_desc,,,,,"Before going on the attack you must secure the defense, follow this rule, and take the reward.","Antes de pasar al ataque debes asegurar la defensa, sigue esta regla, y llévate la recompensa.",,
quest_radial17_desc,,,,,"Do you think that wooden house is going to last forever?, Upgrade it with rocks and get this reward.","¿Crees que esa casa de madera va a durar eternamente?, mejorala con rocas y llévate esta recompensa.",,
quest_radial18_desc,,,,,"I've never liked bald people, not even when they make fun of not having a hair of fools. Take down a few bald guys and get my reward.","Nunca me gustaron los calvos, ni tan siquiera cuando hacen la gracia de no tener ni un pelo de tontos. Acaba con unos cuantos calvos y llévate mi recompensa.",,
quest_radial19_desc,,,,,"Those guys in suits who think they know everything, I hate them. Kill a few costumes and take home this reward.","Esos tipos trajeados que se creen saberlo todo, los detesto. Acaba con unos cuantos trajeados y llévate esta recompensa.",,
quest_radial20_desc,,,,,"Those nurses at the hospital were the worst I've ever seen, really evil. Take down a few nurses and get a reward.","Esas enfermeras del hospital eran las peores que he visto nunca, realmente malvadas. Acaba con unas cuantas enfermeras y llévate una recompensa.",,
quest_radial21_desc,,,,,"How long have I been without hunting a deer? Hunt some for me and keep the reward.","¿Cuanto tiempo llevare sin cazar un venado?. Caza algunos por mi y quédate la recompensa.",,
quest_radial22_desc,,,,,"Blissful jumping rabbits, it seems almost impossible to reach them. A reward for hunting a few.","Dichosos conejos saltarines, parece casi imposible alcanzarlos. Una recompensa para el caze unos cuantos.",,
quest_radial23_desc,,,,,"When I was a child I used to run after chickens, but now things have changed. A reward for hunting a few.","De pequeño corría tras las gallinas, pero ahora la cosa a cambiado. Una recompensa para el caze unas cuantas.",,
quest_radial24_desc,,,,,"The streets of the city are becoming more and more crowded with walkers. A reward for the one who eliminates a few.","Las calles de la ciudad cada vez están mas abarrotadas de caminantes. Una recompensa para el que elimine unos cuantos.",,
quest_radial25_desc,,,,,"The streets of the city are becoming more and more crowded with walkers. A reward for the one who eliminates a few.","Las calles de la ciudad cada vez están mas abarrotadas de caminantes. Una recompensa para el que elimine unos cuantos.",,
quest_radial26_desc,,,,,"The streets of the city are becoming more and more crowded with walkers. A reward for the one who eliminates a few.","Las calles de la ciudad cada vez están mas abarrotadas de caminantes. Una recompensa para el que elimine unos cuantos.",,
quest_radial27_desc,,,,,"They call me Snake because I eat snakes, but who ventures to hunt them nowadays?, A reward awaits the one who catches a few of them.","Me llaman Snake por que como serpientes, pero ¿quien se aventura a cazarlas hoy en día?, aguarda una recompensa al que me caze unas cuantas.",,
quest_radial28_desc,,,,,"I long for the days when cotton was harvested around here, If someone dares to plant a little, a good reward awaits them.","Añoro los tiempos en los que se cosechaba algodón por aquí, si alguien se anima a plantar un poco le espera una buena recompensa.",,
quest_radial29_desc,,,,,"Long live the wine, or the beer in this case, it doesn't matter, get a few and the party doesn't stop. Just don't forget your reward.","Viva el Vino, o la cerveza en este caso, lo mismo da, consigue unas cuantas y que la fiesta no pare. Eso si, no olvides tu recompensa.",,
quest_radial30_desc,,,,,"It's important to have food prepared, you never know when it will start to run out. Craft a few bowls for a small reward.","Es importante tener comida preparada, nunca se sabe cuando comenzara a escasear. Fabrica unos cuantos bowls por una pequeña recompensa.",,
name,,,,,"English","Spanish",,
quest_radial1_offer,,,,,"I've always been amazed at people who venture out protected only by their cloth clothing. Dress just like them, and get a small reward along the way.","Siempre me sorprendió la gente que se aventura unicamente protegida por su ropa de tela. Vístete igual que ellos, y llévate una pequeña recompensa de paso.",,
quest_radial2_offer,,,,,"I once saw a guy who came from the scrap yard and had made a suit of armor completely out of scrap metal. If someone is able to wear one like it, here's a reward.","Una vez vi a un tipo que venia del chatarrero y se había hecho una armadura completamente de chatarra. Si alguien es capaz de ponerse una igual, aquí le dejo una recompensa.",,
quest_radial3_offer,,,,,"The leather, that special touch it has when it sticks to the skin... Dress up in leather from top to bottom and take home this reward.","El cuero, ese tacto especial que tiene cuando se pega a la piel... Vístete de cuero de arriba abajo y llévate esta recompensa.",,
quest_radial4_offer,,,,,"If you're going to dress up, you better make it as intimidating as possible, dress up as a bandit and get this in return.","Si te vas a disfrazar mejor que sea lo mas intimidante posible, vístete de bandido y llévate esto a cambio.",,
quest_radial5_offer,,,,,"If we want to defeat the enemy, we must first dress properly, Get a full military outfit and you're good to go, keep this in return.","Si queremos derrotar al enemigo primero debemos vestirnos en condiciones, consigue un equipo militar completo y ya estarás preparado, quédate con esto a cambio.",,
quest_radial6_offer,,,,,"The description of Walking Tank is the one that best suits the most powerful armor, If you can do with one, this will be your reward.","La descripción de tanque andante es la que mejor se adapta a la armadura mas poderosa, si puedes hacer con una esta sera tu recompensa.",,
quest_radial7_offer,,,,,"Even in the most difficult times, we must take care of the environment. A reward for the one who helps plant some pine trees.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a plantar algunos pinos.",,
quest_radial8_offer,,,,,"Even in the most difficult times, we must take care of the environment. A reward for the one who helps plant some oak trees.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a plantar algunos robles.",,
quest_radial9_offer,,,,,"Have you ever thought about what you will do when the cloth runs out in the world?, Luckily Grandma is here, make some fabric and keep this reward.","¿Habéis pensado que haréis cuando se acabe la tela en el mundo?, por suerte esta aquí la abuela, fabrica un poco de tela y quédate con esta recompensa.",,
quest_radial10_offer,,,,,"I loved Robin Hood with his bow and arrows. If someone is skilled enough to craft a good handful of arrows, they can keep the reward.","Me encanto Robin Hood con su arco y sus flechas. Si alguien es lo bastante hábil para fabricar un buen puñado de flechas, puede quedarse con la recompensa.",,
quest_radial11_offer,,,,,"Even in the most difficult times, we must take care of the environment. A reward for anyone who helps collect some plastic.","Incluso en los momentos mas difíciles debemos cuidar el medio ambiente. Una recompensa para el que ayude a recoger un poco de plástico.",,
quest_radial12_offer,,,,,"The apocalypse is here and canned food is worth its weight in gold. Collect a few cans of beans and keep the reward.","Llego el apocalipsis y la comida enlatada vale su peso en oro. Reúne unas cuantas latas de judías y quédate con la recompensa.",,
quest_radial13_offer,,,,,"The apocalypse is here and canned food is worth its weight in gold. Collect a few cans of chili and keep the reward.","Llego el apocalipsis y la comida enlatada vale su peso en oro. Reúne unas cuantas latas de chili y quédate con la recompensa.",,
